clusters,method,Davies-Bouldin
3,sktime-TimeSeriesKMeans,0.79784
4,sktime-TimeSeriesKMeans,0.80154
5,sktime-TimeSeriesKMeans,0.96442
6,sktime-TimeSeriesKMeans,0.95091
7,sktime-TimeSeriesKMeans,1.04065
8,sktime-TimeSeriesKMeans,1.02114
3,sktime-TimeSeriesKMedoids,0.89247
4,sktime-TimeSeriesKMedoids,0.99684
5,sktime-TimeSeriesKMedoids,0.93552
6,sktime-TimeSeriesKMedoids,1.06617
7,sktime-TimeSeriesKMedoids,1.16376
8,sktime-TimeSeriesKMedoids,1.19403
3,tslearn-KernelKMeans,0.82788
4,tslearn-KernelKMeans,0.80601
5,tslearn-KernelKMeans,0.93219
6,tslearn-KernelKMeans,0.9182
7,tslearn-KernelKMeans,1.02666
8,tslearn-KernelKMeans,0.90153
3,tslearn-KShape,1.15061
4,tslearn-KShape,1.17388
5,tslearn-KShape,1.2496
6,tslearn-KShape,1.36958
7,tslearn-KShape,1.30091
8,tslearn-KShape,1.25986
3,tslearn-TimeSeriesKMeans,1.15834
4,tslearn-TimeSeriesKMeans,1.03183
5,tslearn-TimeSeriesKMeans,1.03538
6,tslearn-TimeSeriesKMeans,1.11706
7,tslearn-TimeSeriesKMeans,1.3756
8,tslearn-TimeSeriesKMeans,1.16564
