clusters,method,Calinski-Harabasz
3,sktime-TimeSeriesKMeans,264.24866
4,sktime-TimeSeriesKMeans,223.04497
5,sktime-TimeSeriesKMeans,234.08978
6,sktime-TimeSeriesKMeans,223.29477
7,sktime-TimeSeriesKMeans,213.96943
8,sktime-TimeSeriesKMeans,204.70739
3,sktime-TimeSeriesKMedoids,261.589
4,sktime-TimeSeriesKMedoids,220.73253
5,sktime-TimeSeriesKMedoids,252.82182
6,sktime-TimeSeriesKMedoids,237.0688
7,sktime-TimeSeriesKMedoids,210.24503
8,sktime-TimeSeriesKMedoids,200.70351
3,tslearn-KernelKMeans,228.21165
4,tslearn-KernelKMeans,279.93118
5,tslearn-KernelKMeans,290.75105
6,tslearn-KernelKMeans,269.5142
7,tslearn-KernelKMeans,227.90601
8,tslearn-KernelKMeans,214.28497
3,tslearn-KShape,211.18273
4,tslearn-KShape,203.25838
5,tslearn-KShape,166.61623
6,tslearn-KShape,139.44212
7,tslearn-KShape,143.31329
8,tslearn-KShape,105.78043
3,tslearn-TimeSeriesKMeans,197.3519
4,tslearn-TimeSeriesKMeans,193.56351
5,tslearn-TimeSeriesKMeans,192.25333
6,tslearn-TimeSeriesKMeans,175.96179
7,tslearn-TimeSeriesKMeans,165.43822
8,tslearn-TimeSeriesKMeans,150.82118
