clusters,method,Silhouette
3,sktime-TimeSeriesKMeans,0.42827
4,sktime-TimeSeriesKMeans,0.41522
5,sktime-TimeSeriesKMeans,0.37935
6,sktime-TimeSeriesKMeans,0.2755
7,sktime-TimeSeriesKMeans,0.25563
8,sktime-TimeSeriesKMeans,0.24247
3,sktime-TimeSeriesKMedoids,0.37591
4,sktime-TimeSeriesKMedoids,0.37462
5,sktime-TimeSeriesKMedoids,0.37617
6,sktime-TimeSeriesKMedoids,0.30445
7,sktime-TimeSeriesKMedoids,0.24498
8,sktime-TimeSeriesKMedoids,0.23958
3,tslearn-KernelKMeans,0.62567
4,tslearn-KernelKMeans,0.49096
5,tslearn-KernelKMeans,0.40358
6,tslearn-KernelKMeans,0.38109
7,tslearn-KernelKMeans,0.41263
8,tslearn-KernelKMeans,0.35892
3,tslearn-KShape,0.45017
4,tslearn-KShape,0.38479
5,tslearn-KShape,0.31809
6,tslearn-KShape,0.27881
7,tslearn-KShape,0.29496
8,tslearn-KShape,0.21677
3,tslearn-TimeSeriesKMeans,0.40941
4,tslearn-TimeSeriesKMeans,0.33756
5,tslearn-TimeSeriesKMeans,0.31761
6,tslearn-TimeSeriesKMeans,0.29166
7,tslearn-TimeSeriesKMeans,0.26058
8,tslearn-TimeSeriesKMeans,0.24357
