clusters,method,time
3,sktime-TimeSeriesKMeans,87.08648
4,sktime-TimeSeriesKMeans,95.0092
5,sktime-TimeSeriesKMeans,123.82961
6,sktime-TimeSeriesKMeans,143.88937
7,sktime-TimeSeriesKMeans,191.56244
8,sktime-TimeSeriesKMeans,252.69789
3,sktime-TimeSeriesKMedoids,51.59335
4,sktime-TimeSeriesKMedoids,69.46296
5,sktime-TimeSeriesKMedoids,83.28284
6,sktime-TimeSeriesKMedoids,93.33303
7,sktime-TimeSeriesKMedoids,102.46054
8,sktime-TimeSeriesKMedoids,114.10599
3,tslearn-KernelKMeans,0.02265
4,tslearn-KernelKMeans,0.0198
5,tslearn-KernelKMeans,0.01597
6,tslearn-KernelKMeans,0.01408
7,tslearn-KernelKMeans,0.01339
8,tslearn-KernelKMeans,0.01162
3,tslearn-KShape,2.15136
4,tslearn-KShape,3.33143
5,tslearn-KShape,2.69284
6,tslearn-KShape,2.8855
7,tslearn-KShape,4.0391
8,tslearn-KShape,3.85377
3,tslearn-TimeSeriesKMeans,109.41073
4,tslearn-TimeSeriesKMeans,114.70723
5,tslearn-TimeSeriesKMeans,115.30783
6,tslearn-TimeSeriesKMeans,114.20805
7,tslearn-TimeSeriesKMeans,128.83657
8,tslearn-TimeSeriesKMeans,103.34534
